Month_name, ORG_NAME, BID_PRICE, BID_CAPACITY, LOCATION_DESCRIPTION, OFFER_PRICE, OFFER_CAPACITY,AuctionType
January,93,5,849.9,2,,,Obligation
January,93,17.5,186.9,7,,,Obligation
January,67,0.05,35,2,,,Obligation
January,67,0.1,33,2,,,Obligation
January,67,0.15,29,2,,,Obligation
January,67,0.2,26,2,,,Obligation
January,67,0.25,25,2,,,Obligation
January,67,1.4,22,1,,,Obligation
January,67,1.4,68,7,,,Obligation
January,67,1.5,22,1,,,Obligation
January,67,1.5,68,7,,,Obligation
January,67,1.6,21,1,,,Obligation
January,67,1.6,64,7,,,Obligation
January,67,1.7,18,1,,,Obligation
January,67,1.7,59,7,,,Obligation
January,67,1.75,6,4,,,Obligation
January,67,1.85,6,4,,,Obligation
January,67,1.95,6,4,,,Obligation
January,11,5,410.7,2,,,Obligation
January,3,0.27,15.7,2,,,Obligation
January,3,0.28,25,2,,,Obligation
January,3,0.29,100,2,,,Obligation
January,1124,0.2,17.6,2,,,Obligation
January,1124,0.22,40.5,2,,,Obligation
January,1124,0.23,26.4,2,,,Obligation
January,1124,0.26,44,2,,,Obligation
January,1124,1,6.2,2,,,Obligation
January,1124,1.5,0.9,2,,,Obligation
January,1124,1.82,25.8,7,,,Obligation
January,1124,1.85,4,1,,,Obligation
January,1124,1.85,4.2,7,,,Obligation
January,1124,2.13,6.1,1,,,Obligation
January,1124,2.13,6.4,7,,,Obligation
January,1124,2.2,4.9,1,,,Obligation
January,1124,2.41,10.2,1,,,Obligation
January,1124,2.41,10.7,7,,,Obligation
January,1124,3,1.8,1,,,Obligation
January,1124,3,6,2,,,Obligation
January,1124,3,0.1,7,,,Obligation
January,1124,3.5,7.1,1,,,Obligation
January,1124,3.5,2.1,7,,,Obligation
January,1124,5,10.4,1,,,Obligation
January,1124,5,3.9,7,,,Obligation
January,1124,6.25,0.4,7,,,Obligation
January,1124,10,7.7,1,,,Obligation
January,1124,10,5.1,2,,,Obligation
January,1124,10,8.7,7,,,Obligation
January,1320,0.05,100,2,,,Obligation
January,1320,0.07,100,2,,,Obligation
January,1320,0.1,100,2,,,Obligation
January,1320,0.12,100,2,,,Obligation
January,1320,1,50,1,,,Obligation
January,1320,1,50,7,,,Obligation
January,1320,1.25,25,1,,,Obligation
January,1320,1.25,25,7,,,Obligation
January,1320,1.3,25,1,,,Obligation
January,1320,1.3,25,7,,,Obligation
January,1320,2,26,2,,,Obligation
January,1320,4,3,7,,,Obligation
January,1085,8,28.2,4,,,Obligation
January,14,2,7.2,2,,,Obligation
January,1161,1.2,5.6,2,,,Obligation
January,1099,0.11,25,2,,,Obligation
January,1099,0.15,25,2,,,Obligation
January,1099,1.42,25,7,,,Obligation
January,1099,1.71,25,7,,,Obligation
January,1099,1.77,25,7,,,Obligation
January,1153,2,71.8,2,,,Obligation
January,1153,6,3.6,1,,,Obligation
January,1153,6,2.1,7,,,Obligation
January,87,2,36.1,2,,,Obligation
January,33,2,42,2,,,Obligation
January,109,2,22.2,2,,,Obligation
January,1227,2,8.1,2,,,Obligation
January,432,0.08,5,2,,,Obligation
January,432,0.09,5,2,,,Obligation
January,432,0.1,10,2,,,Obligation
January,432,0.11,10,2,,,Obligation
January,432,0.12,10,2,,,Obligation
January,432,0.13,10,2,,,Obligation
January,1240,6,11.2,2,,,Obligation
January,284,0.11,10.5,2,,,Obligation
January,284,1.51,6.7,7,,,Obligation
January,82,2,14.3,2,,,Obligation
January,1026,2,44.6,2,,,Obligation
January,283,2,5.5,2,,,Obligation
January,1228,2,20.8,2,,,Obligation
January,1140,0.15,5,2,,,Obligation
January,1140,1.67,10,7,,,Obligation
January,1140,1.83,67,1,,,Obligation
January,1065,3.26,24.8,2,,,Obligation
January,1104,3,1.5,2,,,Obligation
January,1104,7,5.7,1,,,Obligation
January,1104,7,1,7,,,Obligation
January,1096,0.55,153.5,2,,,Obligation
January,1096,6,0.7,7,,,Obligation
January,1059,2,2.3,2,,,Obligation
January,1067,0.25,8.7,2,,,Obligation
January,1067,2,10.7,1,,,Obligation
January,1067,2,4,7,,,Obligation
January,471,1.64,6,7,,,Obligation
January,471,1.67,6,7,,,Obligation
January,471,1.7,5,7,,,Obligation
January,471,1.73,3,7,,,Obligation
January,471,1.76,3,7,,,Obligation
January,471,1.79,3,7,,,Obligation
January,471,1.82,2,7,,,Obligation
January,471,1.85,3,7,,,Obligation
January,471,1.88,5,7,,,Obligation
January,471,1.91,5,7,,,Obligation
January,471,1.94,6,7,,,Obligation
January,471,1.97,6,7,,,Obligation
January,471,2,8,7,,,Obligation
January,471,2.03,8,7,,,Obligation
January,471,2.06,9,7,,,Obligation
January,7,0.12,3,2,,,Obligation
January,7,0.13,3,2,,,Obligation
January,7,0.14,2,2,,,Obligation
January,7,0.15,1,2,,,Obligation
January,7,0.16,1,2,,,Obligation
January,7,0.17,1,2,,,Obligation
January,7,0.18,1,2,,,Obligation
January,7,0.19,1,2,,,Obligation
January,7,0.2,2,2,,,Obligation
January,7,0.21,2,2,,,Obligation
January,7,0.22,3,2,,,Obligation
January,7,0.23,3,2,,,Obligation
January,7,0.24,4,2,,,Obligation
January,7,0.25,4,2,,,Obligation
January,7,0.26,4,2,,,Obligation
January,7,1.64,17,1,,,Obligation
January,7,1.64,10,7,,,Obligation
January,7,1.67,17,1,,,Obligation
January,7,1.67,10,7,,,Obligation
January,7,1.7,13,1,,,Obligation
January,7,1.7,8,7,,,Obligation
January,7,1.73,8,1,,,Obligation
January,7,1.73,5,7,,,Obligation
January,7,1.76,8,1,,,Obligation
January,7,1.76,5,7,,,Obligation
January,7,1.79,8,1,,,Obligation
January,7,1.79,5,7,,,Obligation
January,7,1.82,4,1,,,Obligation
January,7,1.82,3,7,,,Obligation
January,7,1.85,8,1,,,Obligation
January,7,1.85,5,7,,,Obligation
January,7,1.88,13,1,,,Obligation
January,7,1.88,8,7,,,Obligation
January,7,1.91,13,1,,,Obligation
January,7,1.91,8,7,,,Obligation
January,7,1.94,17,1,,,Obligation
January,7,1.94,10,7,,,Obligation
January,7,1.97,17,1,,,Obligation
January,7,1.97,10,7,,,Obligation
January,7,2,21,1,,,Obligation
January,7,2,13,7,,,Obligation
January,7,2.03,21,1,,,Obligation
January,7,2.03,13,7,,,Obligation
January,7,2.06,25,1,,,Obligation
January,7,2.06,15,7,,,Obligation
January,1108,2,8.7,2,,,Obligation
January,1111,0.39,1.5,2,,,Obligation
January,1111,2,1.7,1,,,Obligation
January,1111,2,1.8,7,,,Obligation
January,1125,2,1.7,2,,,Obligation
January,1125,5,2.1,7,,,Obligation
January,1134,3,1.4,2,,,Obligation
January,1134,7,5.1,1,,,Obligation
January,1134,7,0.8,7,,,Obligation
January,1214,3,2.5,2,,,Obligation
January,1214,7,7.5,1,,,Obligation
January,1214,7,3.3,7,,,Obligation
January,1164,2,1.6,2,,,Obligation
