Cindfam,Cindoff,Cindon,Cinsfam,Cinsoff,Cinson,Cotsfam,Cotsoff,Cotson,Number of Records,Sisascp,Sisastp,Sisinst,Sislect,Sisnork,Sisprof,Sistotl,Unitid (S2013 Sis),Unitid
10282,21849,21849,10282,21849,21849,15874,27441,27441,1,76,94,33,0,5,55,263,100654,100654
10282,21849,21849,10282,21849,21849,15874,27441,27441,1,76,94,33,0,5,55,263,100654,100654
10282,21849,21849,10282,21849,21849,15874,27441,27441,1,54,15,0,0,0,50,119,100654,100654
10282,21849,21849,10282,21849,21849,15874,27441,27441,1,8,35,0,0,0,3,46,100654,100654
10282,21849,21849,10282,21849,21849,15874,27441,27441,1,14,44,33,0,5,2,98,100654,100654
10282,21849,21849,10282,21849,21849,15874,27441,27441,1,14,43,32,0,5,2,96,100654,100654
10282,21849,21849,10282,21849,21849,15874,27441,27441,1,0,1,1,0,0,0,2,100654,100654
12581,22495,22495,12581,22495,22495,21773,31687,31687,1,595,777,219,0,0,653,2244,100663,100663
12581,22495,22495,12581,22495,22495,21773,31687,31687,1,595,777,219,0,0,653,2244,100663,100663
12581,22495,22495,12581,22495,22495,21773,31687,31687,1,298,3,0,0,0,530,831,100663,100663
12581,22495,22495,12581,22495,22495,21773,31687,31687,1,76,360,0,0,0,21,457,100663,100663
12581,22495,22495,12581,22495,22495,21773,31687,31687,1,221,414,219,0,0,102,956,100663,100663
12581,22495,22495,12581,22495,22495,21773,31687,31687,1,221,414,219,0,0,102,956,100663,100663
9970,19570,,9970,19570,,9970,19570,,1,0,0,41,0,0,0,41,100690,100690
9970,19570,,9970,19570,,9970,19570,,1,0,0,41,0,0,0,41,100690,100690
9970,19570,,9970,19570,,9970,19570,,1,0,0,41,0,0,0,41,100690,100690
9970,19570,,9970,19570,,9970,19570,,1,0,0,41,0,0,0,41,100690,100690
15033,23466,23466,15033,23466,23466,27347,35780,35780,1,91,93,12,40,0,76,312,100706,100706
15033,23466,23466,15033,23466,23466,27347,35780,35780,1,91,93,12,40,0,76,312,100706,100706
15033,23466,23466,15033,23466,23466,27347,35780,35780,1,78,1,0,0,0,74,153,100706,100706
15033,23466,23466,15033,23466,23466,27347,35780,35780,1,7,69,0,0,0,0,76,100706,100706
15033,23466,23466,15033,23466,23466,27347,35780,35780,1,6,23,12,40,0,2,83,100706,100706
15033,23466,23466,15033,23466,23466,27347,35780,35780,1,6,21,12,36,0,2,77,100706,100706
15033,23466,23466,15033,23466,23466,27347,35780,35780,1,0,2,0,4,0,0,6,100706,100706
13492,20812,18286,13492,20812,18286,20428,27748,25222,1,65,92,50,0,11,56,274,100724,100724
13492,20812,18286,13492,20812,18286,20428,27748,25222,1,65,92,50,0,0,56,263,100724,100724
13492,20812,18286,13492,20812,18286,20428,27748,25222,1,41,14,0,0,0,55,110,100724,100724
13492,20812,18286,13492,20812,18286,20428,27748,25222,1,19,51,0,0,0,1,71,100724,100724
13492,20812,18286,13492,20812,18286,20428,27748,25222,1,5,27,50,0,0,0,82,100724,100724
13492,20812,18286,13492,20812,18286,20428,27748,25222,1,5,27,50,0,0,0,82,100724,100724
13492,20812,18286,13492,20812,18286,20428,27748,25222,1,0,0,0,0,11,0,11,100724,100724
15620,27000,27000,15620,27000,27000,30120,41500,41500,1,318,328,263,12,0,331,1252,100751,100751
15620,27000,27000,15620,27000,27000,30120,41500,41500,1,318,328,263,12,0,331,1252,100751,100751
15620,27000,27000,15620,27000,27000,30120,41500,41500,1,278,7,0,0,0,312,597,100751,100751
15620,27000,27000,15620,27000,27000,30120,41500,41500,1,15,244,0,0,0,2,261,100751,100751
15620,27000,27000,15620,27000,27000,30120,41500,41500,1,25,77,263,12,0,17,394,100751,100751
15620,27000,27000,15620,27000,27000,30120,41500,41500,1,25,77,263,12,0,17,394,100751,100751
8524,16372,,8524,16372,,11824,19672,,1,0,0,0,0,59,0,59,100760,100760
8524,16372,,8524,16372,,11824,19672,,1,0,0,0,0,59,0,59,100760,100760
8524,16372,,8524,16372,,11824,19672,,1,0,0,0,0,37,0,37,100760,100760
8524,16372,,8524,16372,,11824,19672,,1,0,0,0,0,21,0,21,100760,100760
8524,16372,,8524,16372,,11824,19672,,1,0,0,0,0,1,0,1,100760,100760
8524,16372,,8524,16372,,11824,19672,,1,0,0,0,0,1,0,1,100760,100760
12650,20440,17820,12650,20440,17820,28850,36640,34020,1,67,61,14,8,0,53,203,100830,100830
12650,20440,17820,12650,20440,17820,28850,36640,34020,1,67,61,14,8,0,53,203,100830,100830
12650,20440,17820,12650,20440,17820,28850,36640,34020,1,44,6,0,0,0,53,103,100830,100830
12650,20440,17820,12650,20440,17820,28850,36640,34020,1,21,45,1,0,0,0,67,100830,100830
12650,20440,17820,12650,20440,17820,28850,36640,34020,1,2,10,13,8,0,0,33,100830,100830
12650,20440,17820,12650,20440,17820,28850,36640,34020,1,2,9,2,1,0,0,14,100830,100830
12650,20440,17820,12650,20440,17820,28850,36640,34020,1,0,0,11,3,0,0,14,100830,100830
12650,20440,17820,12650,20440,17820,28850,36640,34020,1,0,1,0,4,0,0,5,100830,100830
13730,25282,25282,13730,25282,25282,30242,41794,41794,1,403,241,89,9,0,442,1184,100858,100858
13730,25282,25282,13730,25282,25282,30242,41794,41794,1,403,241,89,9,0,442,1184,100858,100858
13730,25282,25282,13730,25282,25282,30242,41794,41794,1,364,9,0,0,0,434,807,100858,100858
13730,25282,25282,13730,25282,25282,30242,41794,41794,1,16,199,0,0,0,2,217,100858,100858
13730,25282,25282,13730,25282,25282,30242,41794,41794,1,23,33,89,9,0,6,160,100858,100858
13730,25282,25282,13730,25282,25282,30242,41794,41794,1,23,33,89,9,0,6,160,100858,100858
33040,44690,45470,33040,44690,45470,33040,44690,45470,1,22,25,4,2,0,33,86,100937,100937
33040,44690,45470,33040,44690,45470,33040,44690,45470,1,22,25,4,2,0,33,86,100937,100937
33040,44690,45470,33040,44690,45470,33040,44690,45470,1,22,0,0,0,0,33,55,100937,100937
33040,44690,45470,33040,44690,45470,33040,44690,45470,1,0,25,0,0,0,0,25,100937,100937
33040,44690,45470,33040,44690,45470,33040,44690,45470,1,0,0,4,2,0,0,6,100937,100937
33040,44690,45470,33040,44690,45470,33040,44690,45470,1,0,0,4,2,0,0,6,100937,100937
6860,12260,,6860,12260,,10190,15590,,1,0,0,0,0,36,0,36,101028,101028
6860,12260,,6860,12260,,10190,15590,,1,0,0,0,0,36,0,36,101028,101028
6860,12260,,6860,12260,,10190,15590,,1,0,0,0,0,22,0,22,101028,101028
6860,12260,,6860,12260,,10190,15590,,1,0,0,0,0,11,0,11,101028,101028
6860,12260,,6860,12260,,10190,15590,,1,0,0,0,0,3,0,3,101028,101028
6860,12260,,6860,12260,,10190,15590,,1,0,0,0,0,2,0,2,101028,101028
6860,12260,,6860,12260,,10190,15590,,1,0,0,0,0,1,0,1,101028,101028
12390,20790,18330,12390,20790,18330,12390,20790,18330,1,6,13,1,0,0,1,21,101073,101073
12390,20790,18330,12390,20790,18330,12390,20790,18330,1,6,13,1,0,0,1,21,101073,101073
12390,20790,18330,12390,20790,18330,12390,20790,18330,1,6,13,1,0,0,1,21,101073,101073
12390,20790,18330,12390,20790,18330,12390,20790,18330,1,6,13,1,0,0,1,21,101073,101073
